r,g,b,label
152,158,185,White
35,27,32,Black
92,11,14,Red
116,53,16,0range
131,106,23,Yellow
52,92,23,Green
73,105,148,Blue
152,160,181,White
144,149,171,White
132,136,161,White
132,135,164,White
130,133,160,White
184,203,205,White
185,198,214,White
262,293,240,White
137,142,167,White
140,145,167,White
133,136,161,White
28,20,25,Black
33,25,30,Black
35,29,35,Black
32,24,30,Black
27,20,24,Black
31,23,29,Black
26,19,20,Black
39,34,33,Black
83,10,12,Red
83,9,12,Red
89,11,14,Red
68,12,14,Reld
94,13,15,Red
82,9,13,Red
94,12,15,Red
68,9,12,Red
92,13,14,Red
109,50,15,0range
110,53,18,0range
106,49,15,0range
110,50,16,0range
108,50,17,0range
105,48,15,0range
113,53,18,Orange
111,51,15,Orange
105,47,15,0range
107,49,15,0range
109,50,16,0range
120,96,22,Yellow
123,98,21,Yellow
125,101,21,Yellow
128,104,23,Yellow
129,105,22,Yellow
126,102,22,Yellow
127,103,21,Yellow
133,109,24,Yellow
123,99,22,Yellow
127,103,23,Yellow
121,97,22,Yellow
125,101,22,Yellow
128,104,23,Yellow
64,106,23,Green
54,85,20,Green
61,98,22,Green
56,87,22,Green
58,93,21,Green
61,95,22,Green
60,92,22,Green
63,102,23,Green
77,112,154,Blue
82,120,155,Blue
71,102,144,Blue
67,97,139,Blue
76,110,151,Blue
84,122,166,Blue
69,100,140,Blue
68,98,139,Blue
67,96,138,Blue
